program_code,program_name,code,primaryname,strength,description
ESS_MEDS,VIA ESSENTIAL,15E04,"Tretinoina; 0,05%; Créme","0,05%",Tretinoina
ESS_MEDS,VIA ESSENTIAL,04G04,Tansulosina; 400mcg; Comprimidos,400mcg,Tansulosina
ESS_MEDS,VIA ESSENTIAL,07L03Z,Disulfiram; 250mg; Comprimidos,250mg,Disulfiram
ESS_MEDS,VIA ESSENTIAL,16D01,"Acido tricloroacetico; 0,2%; Cristais","0,2%",Acido tricloroacetico
ESS_MEDS,VIA ESSENTIAL,17C05,"Gentamicina; 0,3%; Colírio","0,3%",Gentamicina
ESS_MEDS,VIA ESSENTIAL,15C20,Miconazol Nitrato; 20mg/ml(2%) 30g; Gel,20mg/ml(2%) 30g,Miconazol Nitrato
ESS_MEDS,VIA ESSENTIAL,09C06,Mercaptopurina; 50mg; Comprimidos,50mg,Mercaptopurina
ESS_MEDS,VIA ESSENTIAL,01A04Z,Dobutamina; 250mg/20mL; Injectável,250mg/20mL,Dobutamina
ESS_MEDS,VIA ESSENTIAL,12A07,Leite de soja; SEM DOSAGEM; Pó,Sem Dosagem,Leite de soja
ESS_MEDS,VIA ESSENTIAL,08A10Z,"Amoxicilina+Acido clavulanico; 125mg + 31,25mg/5mL; Suspensão","125mg + 31,25mg/5mL",Amoxicilina+Acido clavulanico
ESS_MEDS,VIA ESSENTIAL,11A08,"Cloreto de sodio; 500 mL 0,9%; Injectável","500 mL 0,9%",Cloreto de sodio
ESS_MEDS,VIA ESSENTIAL,09A04,Clorambucil; 2mg; Comprimidos,2mg,Clorambucil
ESS_MEDS,VIA ESSENTIAL,19B05,Vacina anti-rabica; 1ml; Injectável,1ml,Vacina anti-rabica
ESS_MEDS,VIA ESSENTIAL,03D03Z,Levotiroxina Sodica; 100mg; Comprimidos,100mg,Levotiroxina Sodica
ESS_MEDS,VIA ESSENTIAL,13A08Z,Prometazina; 25mg; Comprimidos,25mg,Prometazina
ESS_MEDS,VIA ESSENTIAL,08M06,Rifampicina; 300mg; Cápsulas,300mg,Rifampicina
ESS_MEDS,VIA ESSENTIAL,18C09,Lidocaina; 10%; Solução,10%,Lidocaina
ESS_MEDS,VIA ESSENTIAL,24A01Z,"Agulha Hipodermica 24G; 0,55x25mm; Embalagem","0,55x25mm",Agulha Hipodermica 24G
ESS_MEDS,VIA ESSENTIAL,15C24,Piritionato de zinco; 20mg/g; Suspensão,20mg/g,Piritionato de zinco
ESS_MEDS,VIA ESSENTIAL,03B04,Metformina; 500mg; Comprimidos,500mg,Metformina
ESS_MEDS,VIA ESSENTIAL,15F02,Acido tricloroacetico; 80%; Solução,80%,Acido tricloroacetico
ESS_MEDS,VIA ESSENTIAL,08A15,"Flucloxacilina, Sal de magnesi; 125mg/5mL; Suspensão",125mg/5mL,"Flucloxacilina, Sal de magnesio"
ESS_MEDS,VIA ESSENTIAL,08B06Y,Cefotaxima de sodio; 250mg-frasco; Injectável,250mg-frasco,Cefotaxima de sodio
ESS_MEDS,VIA ESSENTIAL,11A0VY,"Glucose+Cloreto de Sodio; 5% +0,9% 500ml set AD; Injectável","5% +0,9% 500ml set AD",Glucose+Cloreto Sodio
ESS_MEDS,VIA ESSENTIAL,04J02,Papaverina; 60mg/2mL; Injectável,60mg/2mL,Papaverina
ESS_MEDS,VIA ESSENTIAL,15B06,"Betametasona+Clotrimazol+Genta; (0,5+10+1)mg; Créme","(0,5+10+1)mg",Betametasona+Clotrimazol+Gentamicina
ESS_MEDS,VIA ESSENTIAL,10A07,Amilorido+Hidroclortiazida; 5mg + 50mg; Comprimidos,5mg + 50mg,Amilorido+Hidroclortiazida
ESS_MEDS,VIA ESSENTIAL,17B03X,Fenilefrina; 5%; Colírio,5%,Fenilefrina
ESS_MEDS,VIA ESSENTIAL,21A07,Edatamil calcio- Sodico (EDTA); 200 mg/mL; Injectável,200 mg/mL,Edatamil calcio- Sodico (EDTA)
ESS_MEDS,VIA ESSENTIAL,25A02,Guia de Remessa /Entrada; SEM DOSAGEM; Papel,Sem Dosagem,Guia de Remessa /Entrada
ESS_MEDS,VIA ESSENTIAL,15D0YZ,"Iodeto de potassio; 0,2%; Solução","0,2%",Iodeto de potassio
ESS_MEDS,VIA ESSENTIAL,19B07,"Vacina Anti-Tetanica (VAT); 0,5ml; Injectável","0,5ml",Vacina Anti-Tetanica (VAT)
ESS_MEDS,VIA ESSENTIAL,04E04,"Ciproterona, acetato; 100mg; Comprimidos",100mg,"Ciproterona, acetato"
ESS_MEDS,VIA ESSENTIAL,03D04,Propiltiouracilo; 50mg; Comprimidos,50mg,Propiltiouracilo
ESS_MEDS,VIA ESSENTIAL,01J0ZZ,Atorvastatina; 20mg; Comprimidos,20mg,Atorvastatina
ESS_MEDS,VIA ESSENTIAL,08S02,Abacavir sulfato (ABC); 10mg/mL; Suspensão,10mg/mL,Abacavir sulfato (ABC)
ESS_MEDS,VIA ESSENTIAL,15C15,Hexacloreto de benzeno; 600mg/60ml; Loção,600mg/60ml,Hexacloreto de benzeno
ESS_MEDS,VIA ESSENTIAL,04E07Z,Testosterona deposito; 100 mg/mL; Injectável,100 mg/mL,Testosterona deposito
ESS_MEDS,VIA ESSENTIAL,18C03Z,Bupivacaina+Dextrose; 10mg + 75 mg; Injectável,10mg + 75 mg,Bupivacaina+Dextrose
ESS_MEDS,VIA ESSENTIAL,17C07Z,Tetraciclina HCL; 3%; Pomada,3%,Tetraciclina HCL
ESS_MEDS,VIA ESSENTIAL,03D01,Carbimazol; 5mg; Comprimidos,5mg,Carbimazol
ESS_MEDS,VIA ESSENTIAL,04D01,Estradiol; 1mg; Cápsulas,1mg,Estradiol
ESS_MEDS,VIA ESSENTIAL,01G04,Nitropussiato de sodio; 50mg; Injectável,50mg,Nitropussiato de sodio
ESS_MEDS,VIA ESSENTIAL,08A01Z,Fenoximetilpenicilina; 250mg; Comprimidos,250mg,Fenoximetilpenicilina
ESS_MEDS,VIA ESSENTIAL,08K04,Metronidazol; 250mg; Comprimidos,250mg,Metronidazol
ESS_MEDS,VIA ESSENTIAL,02H0ZZ,Fenipentol; 100mg; Cápsulas,100mg,Fenipentol
ESS_MEDS,VIA ESSENTIAL,04F07Z,Medroxiprogesterona (Sayana Press) 104mg/0.65ml Inj,104mg/0.65ml,Medroxiprogesterona (Sayana Press)
ESS_MEDS,VIA ESSENTIAL,26B06,Caixa Para Kits AL/APE Sem Dosagem Papel,Sem Dosagem,Caixa Para Kits AL/APE
ESS_MEDS,VIA ESSENTIAL,15B16,"Metilprednisolona aceponato; 0,1%; Créme","0,1%",Metilprednisolona aceponato
MMIA,MMIA,08S15,Zidovudina (AZT); 300mg 60Comp; Embalagem,300mg Comp,Zidovudina (AZT)
ESS_MEDS,VIA ESSENTIAL,06F04,"Esponja de Gelatina esteril; 0,2%; Cubos","0,2%",Esponja de Gelatina esteril
ESS_MEDS,VIA ESSENTIAL,04H04,Tolterodina; 4mg; Cápsulas,4mg,Tolterodina
ESS_MEDS,VIA ESSENTIAL,07B08,Petidina; 100mg/2mL; Injectável,100mg/2mL,Petidina
ESS_MEDS,VIA ESSENTIAL,07B04,Morfina sulfato; 10mg; Comprimidos de Libertação Prol,10mg,Morfina sulfato
ESS_MEDS,VIA ESSENTIAL,17F07,"Fluoresceina; 0,2%; Papel","0,2%",Fluoresceina
ESS_MEDS,VIA ESSENTIAL,15L01,"Tacrolimus; 0,03%; Pomada","0,03%",Tacrolimus
ESS_MEDS,VIA ESSENTIAL,24B08,Seringa 10 ml ; SEM DOSAGEM; Embalagem,Sem Dosagem,Seringa 10 ml
ESS_MEDS,VIA ESSENTIAL,15D06,"Calcipotriol; 0,005%; Loção","0,005%",Calcipotriol
ESS_MEDS,VIA ESSENTIAL,01B05,Verapamil; 5mg/2mL; Injectável,5mg/2mL,Verapamil
ESS_MEDS,VIA ESSENTIAL,21A11,Nitrito de Sodio; 30mg/mL; Injectável,30mg/mL,Nitrito de Sodio
ESS_MEDS,VIA ESSENTIAL,15L02,"Tacrolimus; 0,1%; Pomada","0,1%",Tacrolimus
ESS_MEDS,VIA ESSENTIAL,08Q01,Anfotericina B; 50mg; Injectável,50mg,Anfotericina B
ESS_MEDS,VIA ESSENTIAL,12A02,"Hidrolizado de proteinas compo; 0,2%; Pó","0,2%",Hidrolizado de proteinas composto (Complan)
ESS_MEDS,VIA ESSENTIAL,20A16,Trioximetileno; 1g; Comprimidos,1g,Trioximetileno
ESS_MEDS,VIA ESSENTIAL,08S30W,Atazanavir; 300mg 30Caps; Embalagem,300mg 30Caps,Atazanavir
ESS_MEDS,VIA ESSENTIAL,04F0XY,Preservativos Masculino (53mm ; 53mm /2mm; Preservativo,53mm /2mm,Preservativos Masculino (53mm 2mm)
ESS_MEDS,VIA ESSENTIAL,16A01,Ciprofloxacina+Hidrocortisona 10ml Gota auricular,10ml,Ciprofloxacina+Hidrocortisona
ESS_MEDS,VIA ESSENTIAL,07A0ZW,Metamizol; 5mg; Comprimidos,5mg,Metamizol
ESS_MEDS,VIA ESSENTIAL,25A04,Requisicao Interna / Balancete; SEM DOSAGEM; Papel,Sem Dosagem,Requisicao Interna / Balancete
ESS_MEDS,VIA ESSENTIAL,24D06,"Cateter periferico c/ agulha, valvula de injeccao e abas 24G, Radiopaco unidade Embalagem",unidade,"Cateter periferico c/ agulha, valvula de injeccao e abas 24G, Radiopaco"
ESS_MEDS,VIA ESSENTIAL,08M03,Dapsona; 50mg; Comprimidos,50mg,Dapsona
ESS_MEDS,VIA ESSENTIAL,25D03,Manual de procedimentos  do Deposito Distital de Medicamentos Sem Dosagem Papel,Sem Dosagem,Manual de procedimentos  do Deposito Distital de Medicamentos
ESS_MEDS,VIA ESSENTIAL,13A10Z,Prometazina; 25mg/mL; Injectável,25mg/mL,Prometazina
ESS_MEDS,VIA ESSENTIAL,08A08Z,Amoxicilina trihidrato; 125mg/5mL; Suspensão,125mg/5mL,Amoxicilina trihidrato
ESS_MEDS,VIA ESSENTIAL,24B07,Seringa 5 ml  ; SEM DOSAGEM; Embalagem,Sem Dosagem,Seringa 5 ml
ESS_MEDS,VIA ESSENTIAL,08L05Z,Pirazinamida; 500mg; Comprimidos,500mg,Pirazinamida
ESS_MEDS,VIA ESSENTIAL,15C22,Mupirocin; 2%; Pomada,2%,Mupirocin
ESS_MEDS,VIA ESSENTIAL,17A01,Acetazolamida; 250mg; Comprimidos,250mg,Acetazolamida
ESS_MEDS,VIA ESSENTIAL,18D03,Vecuronio brometo; 10mg/5mL; Injectável,10mg/5mL,Vecuronio brometo
ESS_MEDS,VIA ESSENTIAL,16C04,"Fenilefrina HCL; 0,25%; Gotas nasais","0,25%",Fenilefrina HCL
ESS_MEDS,VIA ESSENTIAL,24B05,"Seringa Hipodermica 5 ml com a; 0,80x38mm; Embalagem","0,80x38mm",Seringa Hipodermica 5 ml com agulha
ESS_MEDS,VIA ESSENTIAL,03B07,Insulina accao curta(rapida)(A; 100UI/mL; Injectável,100UI/mL,Insulina accao curta(rapida)(Actrapid)
ESS_MEDS,VIA ESSENTIAL,15D04,Alcatrao de Hulha (Coaltar); 5% + 2%; Loção,5% + 2%,Alcatrao de Hulha (Coaltar)
ESS_MEDS,VIA ESSENTIAL,13A03,Clorfeniramina; 2mg/5mL; Xarope,2mg/5mL,Clorfeniramina
ESS_MEDS,VIA ESSENTIAL,13A08,Prometazina; 10mg; Comprimidos,10mg,Prometazina
ESS_MEDS,VIA ESSENTIAL,15B05,"Betametasona+Acido salicilico; 0,05%+3%; Pomada","0,05%+3%",Betametasona+Acido salicilico
ESS_MEDS,VIA ESSENTIAL,15C25,Terbinafina; 1%; Créme,1%,Terbinafina
ESS_MEDS,VIA ESSENTIAL,09B01Z,Bleomicina Sulfato; 15UI; Injectável,15UI,Bleomicina Sulfato
ESS_MEDS,VIA ESSENTIAL,01F02Z,Nifedipina; 10mg; Cápsulas,10mg,Nifedipina
ESS_MEDS,VIA ESSENTIAL,23C05,Penso Ocular Adesivo; 58x82mm; Compressa,58x82mm,Penso Ocular Adesivo
ESS_MEDS,VIA ESSENTIAL,22A03Y,Reguas para teste de tuberculi; SEM DOSAGEM; Papel,Sem Dosagem,Reguas para teste de tuberculina
ESS_MEDS,VIA ESSENTIAL,25B03,Livro de  Registo  Diario de  ; SEM DOSAGEM; Papel,Sem Dosagem,Livro de  Registo  Diario de  ARVs-PTV
ESS_MEDS,VIA ESSENTIAL,08A11,Amoxicilina+Acido clavulanico; 500mg + 125mg; Comprimidos,500mg + 125mg,Amoxicilina+Acido clavulanico
ESS_MEDS,VIA ESSENTIAL,15J01,Hidroquinona; 2%; Créme,2%,Hidroquinona
ESS_MEDS,VIA ESSENTIAL,04F03,Etinilest+Levonorgestrel; 30mcg + 150mcg; Comprimidos,30mcg + 150mcg,Etinilest+Levonorgestrel
ESS_MEDS,VIA ESSENTIAL,09C03Z,Fluorouracilo; 5%; Pomada,5%,Fluorouracilo
ESS_MEDS,VIA ESSENTIAL,02I02Y,"Anti hemorroidario; 0,2%; Pomada","0,2%",Anti hemorroidario
ESS_MEDS,VIA ESSENTIAL,18C07,"Lidocaina carpule; 36mg/1,8ml-Ampola; Injectável","36mg/1,8ml-Ampola",Lidocaina carpule
ESS_MEDS,VIA ESSENTIAL,10A02,Espironolactona; 25mg; Comprimidos,25mg,Espironolactona
ESS_MEDS,VIA ESSENTIAL,04I01,"Acido Citrico+Citrato de potas; 0,2%; Granulado","0,2%",Acido Citrico+Citrato de potassio+Citrato de Sodio
MMIA,MMIA,08S01B,"Abacavir sulfato (ABC) 60mg, 60Cps (Baby) Embalagem","60mg,  (Baby)",Abacavir sulfato (ABC)
ESS_MEDS,VIA ESSENTIAL,15B03,"Betametasona dipropionato; 0,1%; Pomada","0,1%",Betametasona dipropionato
ESS_MEDS,VIA ESSENTIAL,08O15X,Artesunato+Amodiaquina; 50mg+150mg; Comprimidos,50mg+150mg,Artesunato+Amodiaquina
ESS_MEDS,VIA ESSENTIAL,04A03Z,Clotrimazol; 500mg; Comprimidos vaginais,500mg,Clotrimazol
ESS_MEDS,VIA ESSENTIAL,08L07Y,Rifampicina+Isoniazida; 150mg+150mg; Comprimidos,150mg+150mg,Rifampicina+Isoniazida
ESS_MEDS,VIA ESSENTIAL,07J01,Clorpromazina; 25mg; Comprimidos,25mg,Clorpromazina
ESS_MEDS,VIA ESSENTIAL,10A08,"Manitol; 20% (12,5mg/50ml); Injectável","20% (12,5mg/50ml)",Manitol
ESS_MEDS,VIA ESSENTIAL,04D02Z,"Estrogenios conjugados; 1,25mg; Comprimidos","1,25mg",Estrogenios conjugados
ESS_MEDS,VIA ESSENTIAL,15B12,Hidrocortisona acetato; 1%; Loção,1%,Hidrocortisona acetato
ESS_MEDS,VIA ESSENTIAL,17C03,"Cloranfenicol; 0,5%; Colírio","0,5%",Cloranfenicol
ESS_MEDS,VIA ESSENTIAL,13A0XY,Prometazina HCL; 5mg/mL; Xarope,5mg/mL,Prometazina HCL
ESS_MEDS,VIA ESSENTIAL,04B05,Oxitocina; 5 UI/mL; Injectável,5 UI/mL,Oxitocina
ESS_MEDS,VIA ESSENTIAL,08S02Z,Abacavir sulfato (ABC); 20mg/mL; Solução,20mg/mL,Abacavir sulfato (ABC)
ESS_MEDS,VIA ESSENTIAL,26A02,KIT PME APE; SEM DOSAGEM; KIT,Sem Dosagem,KIT PME APE
ESS_MEDS,VIA ESSENTIAL,11A26,Solucao p/ Dialise peritoneal ; 4.50%; Injectável,4.50%,Solucao p/ Dialise peritoneal c/ Glicose
ESS_MEDS,VIA ESSENTIAL,16C01,Beclometasona; 50mcg/inalacao; Spray nasal,50mcg/inalacao,Beclometasona
ESS_MEDS,VIA ESSENTIAL,04A02,Clotrimazol; 50mg/5g; Créme vaginal,50mg/5g,Clotrimazol
ESS_MEDS,VIA ESSENTIAL,07A06Y,Paracetamol; 250mg/5mL; Xarope,250mg/5mL,Paracetamol
ESS_MEDS,VIA ESSENTIAL,18C03Y,Bupivacaina+Dextrose; 10mg+75mg; Injectável,10mg+75mg,Bupivacaina+Dextrose
ESS_MEDS,VIA ESSENTIAL,13A0XZ,Prometazina HCL; 5mg/5mL; Xarope,5mg/5mL,Prometazina HCL
ESS_MEDS,VIA ESSENTIAL,09E01,L-acido Zoledronico; 4 mg/5mL; Injectável,4 mg/5mL,L-acido Zoledronico
ESS_MEDS,VIA ESSENTIAL,12B02,Glicose (Dextrose); 250ml 10%; Injectável,250ml 10%,Glicose (Dextrose)
ESS_MEDS,VIA ESSENTIAL,08H03,Ciprofloxacina; 500mg; Comprimidos,500mg,Ciprofloxacina
ESS_MEDS,VIA ESSENTIAL,09C08Z,Metotrexato; 25mg/mL Ampola 2mL; Injectável,25mg/mL Ampola 2mL,Metotrexato
ESS_MEDS,VIA ESSENTIAL,08O14,"Sulfadoxina+Pirimetamina; 500mg + 25mg/2,5mL; Injectável","500mg + 25mg/2,5mL",Sulfadoxina+Pirimetamina
ESS_MEDS,VIA ESSENTIAL,25B05,Mapa Consumo Mensal AL; SEM DOSAGEM; Papel,Sem Dosagem,Mapa Consumo Mensal AL
ESS_MEDS,VIA ESSENTIAL,25A09,Mapa  Resumo/Plano Trimestral ; SEM DOSAGEM; Papel,Sem Dosagem,Mapa  Resumo/Plano Trimestral Distribuicao de Kits
MMIA,MMIA,08S39Y,Lopinavir/Ritonavir (Kaletra); 80mg + 20mg; Solução,80mg + 20mg,Lopinavir/Ritonavir (Kaletra)
ESS_MEDS,VIA ESSENTIAL,08B04Z,Cefixima; 400mg; Comprimidos,400mg,Cefixima
ESS_MEDS,VIA ESSENTIAL,09C02,"Fludarabina, fosfato; 10mg; Comprimidos",10mg,"Fludarabina, fosfato"
ESS_MEDS,VIA ESSENTIAL,05A08,Salbutamol; 100mcg/inalacao; Aerosol,100mcg/inalacao,Salbutamol
ESS_MEDS,VIA ESSENTIAL,10A01,Amilorido; 5mg; Comprimidos,5mg,Amilorido
MMIA,MMIA,08S13,Lamivudina(3TC); 150mg 60Comp; Embalagem,150mg Comp,Lamivudina(3TC)
ESS_MEDS,VIA ESSENTIAL,18D03Z,Vecuronio brometo; 10mg/5mL; Injectável,10mg/5mL,Vecuronio brometo
ESS_MEDS,VIA ESSENTIAL,04K05,Flutamida; 250mg; Comprimidos,250mg,Flutamida
ESS_MEDS,VIA ESSENTIAL,08I03,Cotrimoxazol (Sulfametazol+Tri; 240mg/5mL; Suspensão,240mg/5mL,Cotrimoxazol (Sulfametazol+Trimetoprim)
ESS_MEDS,VIA ESSENTIAL,08K01,Cloranfenicol; 250mg; Cápsulas,250mg,Cloranfenicol
ESS_MEDS,VIA ESSENTIAL,12B09,"Sol oligoelementos; 0,2%; Injectável","0,2%",Sol oligoelementos
ESS_MEDS,VIA ESSENTIAL,08B03,"Cefuroxima, axetil; 125mg/5mL; Suspensão",125mg/5mL,"Cefuroxima, axetil"
ESS_MEDS,VIA ESSENTIAL,04B02,Ergometrina+Oxitocina; 500mg + 5UI; Injectável,500mg + 5UI,Ergometrina+Oxitocina
ESS_MEDS,VIA ESSENTIAL,07J13,Clozapina; 100mg; Comprimidos,100mg,Clozapina
ESS_MEDS,VIA ESSENTIAL,07J09Z,Tioridazina; 25mg; Comprimidos,25mg,Tioridazina
ESS_MEDS,VIA ESSENTIAL,08O07Z,Artesunato; 40mg; Comprimidos,40mg,Artesunato
ESS_MEDS,VIA ESSENTIAL,08S39,Lopinavir+Ritonavir; 400mg + 100mg/5mL 80ml; Solução,400mg + 100mg/5mL 80ml,Lopinavir+Ritonavir
ESS_MEDS,VIA ESSENTIAL,05B0X,Ciclidrol xpe (8mg/mL); 8mg/mL; Xarope,8mg/mL,Ciclidrol xpe (8mg/mL)
ESS_MEDS,VIA ESSENTIAL,15B02,"Betametasona dipropionato; 0,05%; Loção Capilar","0,05%",Betametasona dipropionato
ESS_MEDS,VIA ESSENTIAL,02F01,Mesalazina ou Sulfasalazina (5; 400mg; Comprimidos,400mg,Mesalazina ou Sulfasalazina (5ASA)
ESS_MEDS,VIA ESSENTIAL,12B07,Lipidos; 10%; Injectável,10%,Lipidos
ESS_MEDS,VIA ESSENTIAL,24B05Z,Seringa Hipodermica 10 mL com agulha 10ml,10ml,Seringa Hipodermica 10 mL com agulha
ESS_MEDS,VIA ESSENTIAL,19B04,Vacina anti-poliomielítica 10 ; SEM DOSAGEM; Gotas Orais,Sem Dosagem,Vacina anti-poliomielÕtica 10 doses
ESS_MEDS,VIA ESSENTIAL,08H01,Acido Nalidíxico; 500mg; Comprimidos,500mg,Acido NalidÕxico
ESS_MEDS,VIA ESSENTIAL,03E02,"Somatropina; 6,1 mg/ml, ampola pre-enchida; Injectável","6,1 mg/ml, ampola pre-enchida",Somatropina
ESS_MEDS,VIA ESSENTIAL,08R01,Aciclovir; 400mg; Comprimidos,400mg,Aciclovir
ESS_MEDS,VIA ESSENTIAL,08D05Z,Kanamicina; 1g/10mL-ampola; Injectável,1g/10mL-ampola,Kanamicina
ESS_MEDS,VIA ESSENTIAL,19B01,"Vacina Anti - Colerica 10 dose; 0,2%; Injectável","0,2%",Vacina Anti - Colerica 10 doses
MMIA,MMIA,08S23,Nevirapina (NVP); 50mg/5mL 240mL; Suspensão,50mg/5mL 240mL,Nevirapina (NVP)
ESS_MEDS,VIA ESSENTIAL,05A01,Aminofilina; 100mg; Comprimidos,100mg,Aminofilina
ESS_MEDS,VIA ESSENTIAL,11A07,"Cloreto de sodio; 250 mL 0,9%; Injectável","250 mL 0,9%",Cloreto de sodio
ESS_MEDS,VIA ESSENTIAL,02A05,Omeprazol; 40mg/10mL; Injectável,40mg/10mL,Omeprazol
ESS_MEDS,VIA ESSENTIAL,20A06,Clorexidina; 5%; Solução - Frasco,5%,Clorexidina
ESS_MEDS,VIA ESSENTIAL,11A17,"Glicose+Cloreto de Sódio; 4,3% + 0,18%/500ml; Injectável","4,3% + 0,18%/500ml",Glicose+Cloreto de SÑdio
ESS_MEDS,VIA ESSENTIAL,10A08Z,Manitol; 10% (100mg/ml); Injectável,10% (100mg/ml),Manitol
ESS_MEDS,VIA ESSENTIAL,11A0XZ,Agua para Injectaveis  5ml Inj,5ml,Agua para Injectaveis
ESS_MEDS,VIA ESSENTIAL,08F02,Azitromicina; 200mg/5mL; Suspensão,200mg/5mL,Azitromicina
ESS_MEDS,VIA ESSENTIAL,12C02,"Gluconato de cálcio; 500mg (2,3 mEq de cálcio); Comprimidos","500mg (2,3 mEq de cálcio)",Gluconato de càlcio
