kvtype,latest_soh,product_name,product_code,facility_name,expiration
expirationdates,-50,Lopinavir/Ritonavir; 200mg+50mg 120Comp; Embalagem,08S39Z,Ricatla,
expirationdates,-34,Lamivudina(3TC); 50mg/5mL 240mL; Solução Oral,08S14,Marracuene,
expirationdates,-11,Saquinhos para reembalagem de ; 10cmx10cm; Embalagem,26B04,Marracuene,13/11/2016
expirationdates,0,Abacavir sulfato (ABC); 10mg/mL; Suspensão,08S02,Ricatla,
expirationdates,1,"Digoxina; 2,5mg/50mL; Gotas Orais",01A02,Marracuene,
expirationdates,5,Cefalexina; 250mg; Cápsulas,08B0YZ,Marracuene,
expirationdates,5,Clindamicina; 20mg/g; Créme vaginal,04A01,Marracuene,
expirationdates,5,Piridoxina (Vitamina B6); 50mg; Comprimidos,12D14,Marracuene,13/11/2019
expirationdates,10,"Abacavir sulfato (ABC); 60mg, 60comp Baby; Embalagem",08S01Z,Ricatla,
expirationdates,53,Cefalexina; 250mg; Cápsulas,080ZY,Marracuene,13/11/2019
expirationdates,54,Etoposido; 100mg/5mL; Injectável,09D02,Marracuene,13/11/2019
expirationdates,55,Penicilina Sodica cristalina; 10 000 000UI; Injectável,08A06Y,Marracuene,
expirationdates,64,Estrogenios conjugados; 625mcg/g; Créme vaginal,04D03,Marracuene,
expirationdates,77,Sinvastatina; 20mg; Comprimidos,01J02,Marracuene,13/11/2020
expirationdates,78,Lopinavir/Ritonavir 100mg+25mg 60Comp Embalagem,08S39B,Ricatla,
expirationdates,83,Amlodipina besilato; 5mg; Comprimidos,01F01Z,Matalane,
expirationdates,86,Paracetamol; 1g/100mL; Injectável,07A04,Marracuene,
expirationdates,100,"Digoxina 0,25mg Comp",01A01,Marracuene,13/11/2024
expirationdates,124,Enalapril; 5mg; Comprimidos,01H01,Matalane,
expirationdates,165,Bleomicina Sulfato; 15UI; Injectável,09B01Z,Matalane,
expirationdates,274,Amlodipina; 10mg; Comprimidos,01F01,Matalane,
expirationdates,280,"Acido Citrico+Citrato de potas; 0,2%; Granulado",04I01,Matalane,
expirationdates,290,Prednisolona; 5mg; Comprimidos,03A04,Marracuene,
expirationdates,300,"Abacavir sulfato (ABC) 60mg, 60Cps (Baby) Embalagem",08S01B,Ricatla,
expirationdates,300,Metildopa; 250mg; Comprimidos,01C04,Ricatla,
expirationdates,321,Acido Folico; 5mg; Comprimidos,06A01,Matalane,
expirationdates,326,Acetilsalicilato de lisina; 900mg/5mL; Injectável,07A01,Matalane,
expirationdates,328,Acido Folico+Vit B12; 1mg+25mcg; Cápsulas,06A0ZY,Matalane,
expirationdates,352,Acido acetilsalicilico  (Aspir; 100mg; Comprimidos,06E01,Matalane,
expirationdates,353,Alendronato  sodico; 10mg; Comprimidos,04D09,Matalane,
expirationdates,354,Tenofovir (TDF); 300mg 30Comp; Embalagem,08S18,Nhongonhane (Ed.Mondl.),
expirationdates,358,Alendronato Sodico; 70 mg; Comprimidos,04D10,Matalane,
expirationdates,360,Zidovudina/Lamivudina; 300mg+150mg 60Comp; Embalagem,08S40,Mali,
expirationdates,370,Acido acetil Salcilico; (650mg); Comprimidos,07A02T,Matalane,
expirationdates,370,Anti hemorroidario Bismuto+Zn ; 100mg+100mg+60g; Supositório,02I02X,Matalane,
expirationdates,370,"Anti hemorroidario; 0,2%; Créme",02I01,Matalane,
expirationdates,375,Acido acetilsalicilico (Aspiri; 320mg; Comprimidos,07A02Z,Matalane,
expirationdates,375,Acido acetilsalicilico (Aspiri; 500mg; Comprimidos,07A02,Matalane,
expirationdates,375,Acido aminocaproico; 250mg/2mL; Injectável,06F0ZZ,Matalane,
expirationdates,375,"Anti hemorroidario; 0,2%; Pomada",02I02Y,Matalane,
expirationdates,375,Anti hemorroidario; 400/40mg; Supositório,02I02,Matalane,
expirationdates,376,Acido aminocaproico; 5g/20mL; Injectável,06F0ZY,Matalane,
expirationdates,377,Acido tranexamico; 500mg/5mL; Injectável,06F02,Matalane,
expirationdates,378,Acido tranexamico; 500mg; Comprimidos,06F01,Matalane,
expirationdates,421,Alprostadil; 10mcg; Injectável,04J01,Matalane,
expirationdates,442,"Beclometasona; 0,2%; Enema",02F0ZZ,Matalane,
expirationdates,446,Aminofilina; 100mg; Comprimidos,05A01,Matalane,
expirationdates,446,Sinvastatina; 10mg; Comprimidos,01J02Z,Matalane,
expirationdates,449,Aminofilina; 125mg; Comprimidos,05A01Z,Matalane,
expirationdates,451,"Abacavir sulfato (ABC); 60mg, 60comp Baby; Embalagem",08S01Z,Nhongonhane (Ed.Mondl.),
expirationdates,452,Aminofilina; 240mg/10mL; Injectável,05A02,Matalane,
expirationdates,455,Aminofilina; 250mg/10mL; Injectável,05A02Z,Matalane,
expirationdates,463,Atorvastatina; 20mg; Comprimidos,01J0ZZ,Matalane,
expirationdates,484,Bisacodil; 5mg; Comprimidos,02D01,Matalane,
expirationdates,500,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Nhongonhane (Ed.Mondl.),17/11/2015
expirationdates,518,"Butilescopolamina; 0,2%; Supositório",02B0ZZ,Matalane,
expirationdates,520,Butilescopolamina; 20mg/mL; Injectável,02B02,Matalane,
expirationdates,537,Acido Nalidíxico; 125mg; Comprimidos,08H01Z,Matalane,
expirationdates,540,Acido Nalidíxico; 300mg/5mL; Xarope,08H02,Matalane,
expirationdates,551,"Alprazolam; 0,5mg; Comprimidos",07I01,Matalane,
expirationdates,554,Estavudina/Lamivudina/Nevirapi; 200mg+150mg+30mg 60Comp; Embalagem,08S36,Nhongonhane (Ed.Mondl.),
expirationdates,555,Trioximetileno; 1g; Comprimidos,20A16,Marracuene,
expirationdates,566,"BCG Intravesical; 0,2%; Pó",04K01,Matalane,
expirationdates,567,Abacavir (ABC)+Lamivudina (3TC; 600mg+300mg  30Comp; Embalagem,08S01ZY,Mali,
expirationdates,568,Amitriptilina; 10mg; Comprimidos,07G01,Matalane,
expirationdates,571,Amitriptilina; 25mg; Comprimidos,07G02,Matalane,
expirationdates,572,Acido Aminosalicilico (PASER); 4g; Saquetas,08L10X,Matalane,
expirationdates,584,"Bromocriptina; 2,5mg; Comprimidos",04C01,Matalane,
expirationdates,588,Beclometasona; 100mcg/inalacao; Aerosol,05A03,Matalane,
expirationdates,592,Beclometasona; 200mcg/inalacao; Aerosol,05A04,Matalane,
expirationdates,593,Beclometasona; 50mcg/inalacao; Aerosol,05A03Z,Matalane,
expirationdates,600,Abacavir sulfato (ABC); 20mg/mL; Solução,08S02Z,Ricatla,
expirationdates,600,Metoclopramida; 5mg/5mL; Xarope,02C03,Ricatla,
expirationdates,608,Carbimazol; 5mg; Comprimidos,03D01,Matalane,
expirationdates,613,"Cabergolina; 0,5mg; Cápsulas",04C02,Matalane,
expirationdates,615,Benzoato de sodio; 3 g/100mL; Xarope,05B01,Matalane,
expirationdates,618,Bicalutamida; 150mg; Comprimidos,04K03,Matalane,
expirationdates,619,Bicalutamida; 50mg; Comprimidos,04K02,Matalane,
expirationdates,621,Cimetidina; 200mg/2mL; Injectável,02A0ZY,Matalane,
expirationdates,624,Cimetidina; 200mg; Comprimidos,02A0ZZ,Matalane,
expirationdates,624,Verapamil; 40mg; Comprimidos,01B04,Matalane,
expirationdates,624,Verapamil; 40mg; Comprimidos,01B04,Matalane,20/11/2019
expirationdates,630,Aciclovir; 200mg; Comprimidos,08R01Z,Matalane,
expirationdates,635,Aciclovir; 25mg/mL; Injectável,08R02,Matalane,
expirationdates,637,Aciclovir; 400mg; Comprimidos,08R01,Matalane,
expirationdates,639,Amikacina sulfato; 100mg/2mL-ampola; Injectável,08D02,Matalane,
expirationdates,640,Amikacina sulfato; 250mg/2mL-ampola; Injectável,08D01,Matalane,
expirationdates,641,Aciclovir; 20mg/5mL; Xarope,08R0ZZ,Matalane,
expirationdates,642,Aciclovir; 400mg; Injectável,08R02Z,Matalane,
expirationdates,643,Amoxicilina trihidrato; 125mg/5mL; Suspensão,08A08Z,Matalane,
expirationdates,644,Amoxicilina trihidrato; 250mg/5mL; Suspensão,08A08,Matalane,
expirationdates,645,Amoxicilina trihidrato; 250mg; Cápsulas,08A07Z,Matalane,
expirationdates,646,Amoxicilina trihidrato; 500mg; Cápsulas,08A07,Matalane,
expirationdates,653,Amoxicilina +Ac clavulanico; 875mg+125mg; Comprimidos,08A11Z,Matalane,
expirationdates,657,Brometo de ipratropio; 20mcg/inalacao; Aerosol,05A05,Matalane,
expirationdates,661,"Amoxicilina+Acido clavulanico; 125mg + 31,25mg/5mL; Suspensão",08A10Z,Matalane,
expirationdates,662,Amoxicilina+Acido clavulanico; 250mg + 125mg; Comprimidos,08A10,Matalane,
expirationdates,662,Ampicilina; 500mg; Injectável,08A09,Matalane,
expirationdates,663,Amoxicilina; 125mg/5mL; Suspensão,08A0YZ,Matalane,
expirationdates,668,"Amoxicilina+Acido clavulanico; 250mg + 62,5mg; Suspensão",08A12,Matalane,
expirationdates,668,Amoxicilina+Acido clavulanico; 500mg + 125mg; Comprimidos,08A11,Matalane,
expirationdates,672,Bromidrato de Dextrometorfano; 27mg/15ml; Xarope,05B02,Matalane,
expirationdates,680,Hidrocortisona; 100mg/mL; Injectável,03A03,Marracuene,26/3/2016
expirationdates,700,Albendazol; 200mg; Comprimidos,08N01Z,Matalane,
expirationdates,701,Albendazol; 400mg; Comprimidos,08N01,Matalane,
expirationdates,726,Zidovudina/Lamivudina/Nevirapi; 60mg+30mg+50mg 60 Comprimidos; Embalagem,08S42B,Ricatla,
expirationdates,732,Baclofeno; 10mg; Comprimidos,07L01,Matalane,
expirationdates,737,Rosiglitazona; 2mg; Comprimidos,03B06X,Marracuene,13/11/2017
expirationdates,738,"Digoxina 0,25mg Comp",01A01,Ricatla,
expirationdates,738,"Digoxina; 0,25mg/2mL; Injectável",01A03Z,Ricatla,
expirationdates,738,"Digoxina; 2,5mg/50mL; Gotas Orais",01A02,Ricatla,
expirationdates,738,Dobutamina; 250mg/20mL; Injectável,01A04Z,Ricatla,
expirationdates,738,Dopamina HCL; 200mg/5mL; Injectável,01A05,Ricatla,
expirationdates,738,Estavudina/Lamivudina/Nevirapi; 200mg+150mg+30mg 60Comp; Embalagem,08S36,Ricatla,
expirationdates,738,"Estavudina/Lamivudina; 6mg+30mg, 60 Comp (Baby); Embalagem",08S32Z,Ricatla,
expirationdates,738,"Lamivudina+Zidovudina; 30mg+60mg, 60 Comprimidos; Embalagem",08S40Z,Ricatla,
expirationdates,740,Biperideno Hidrocloreto; 2mg; Comprimidos,07F01,Matalane,
expirationdates,740,Ciproterona+Estradiol; 2mg+2mg+1mg; Comprimidos,04D08,Matalane,
expirationdates,742,Clindamicina; 20mg/g; Créme vaginal,04A01,Matalane,
expirationdates,743,Biperideno lactato; 5mg/mL; Injectável,07F02,Matalane,
expirationdates,751,"Ciproterona, acetato; 100mg; Comprimidos",04E04,Matalane,
expirationdates,751,"Ciproterona, acetato; 10mg; Comprimidos",04E03,Matalane,
expirationdates,754,"Ciproterona, acetato; 50mg; Comprimidos",04E03Z,Matalane,
expirationdates,758,Ciproterona; 300 mg/3mL; Injectável,04E05,Matalane,
expirationdates,760,Ciproterona+Etinilestradiol; 2mg + 35mcg; Comprimidos,04F01,Matalane,
expirationdates,770,Bromazepam; 3mg; Comprimidos,07I02,Matalane,
expirationdates,773,Betanecol; 10mg; Comprimidos,07L02,Matalane,
expirationdates,780,Prednisolona fosfato sodico; 50mg/10mL; Injectável,03A06,Marracuene,
expirationdates,781,"Amodiaquina,hidrocloreto; 261mg (200mg base); Comprimidos",08O01,Matalane,
expirationdates,789,Ciclidrol xpe (8mg/mL); 8mg/mL; Xarope,05B0X,Matalane,
expirationdates,791,Azitromicina; 200mg/5mL; Suspensão,08F02,Matalane,
expirationdates,791,Carbamazepina; 200mg; Comprimidos,07D01,Matalane,
expirationdates,792,Azitromicina; 500mg; Comprimidos,08F01,Matalane,
expirationdates,792,Ciclidrol; 8mg/mL; Xarope,05B0ZZ,Matalane,
expirationdates,794,Carbamazepina; 400mg; Comprimidos,07D01Z,Matalane,
expirationdates,795,Acido folinico (folinato de cá; 15mg; Comprimidos,09H01,Matalane,
expirationdates,795,Buspirona; 10mg; Comprimidos,07I03,Matalane,
expirationdates,799,Clomifeno citrato; 50mg; Comprimidos,04E09,Matalane,
expirationdates,800,Estavudina/Lamivudina; 30mg +150mg 60Comp; Embalagem,08S32,Ricatla,
expirationdates,825,Artemeter+Lumefantrina; 120mg+20mg 1x6; Comprimidos,08O05,Matalane,
expirationdates,827,"Colestiramina; 0,2%; Pó",02G01,Matalane,
expirationdates,830,Artemeter+Lumefantrina; 120mg+20mg 2x6; Comprimidos,08O05Z,Matalane,
expirationdates,830,Artemeter; 20mg/mL; Injectável,08O02,Matalane,
expirationdates,830,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Mali,
expirationdates,830,Zidovudina/Lamivudina/Nevirapi; 300mg+150mg+200mg 60Comp; Embalagem,08S42,Mali,15/11/2016
expirationdates,831,Artemeter+Lumefantrina; 120mg+20mg 3x6; Comprimidos,08O05Y,Matalane,
expirationdates,832,Artemeter+Lumefantrina; 120mg+20mg 4x6; Comprimidos,08O05X,Matalane,
expirationdates,834,Artemeter; 50mg; Supositório,08O04,Matalane,
expirationdates,835,Artemeter; 80mg/mL; Injectável,08O03,Matalane,
expirationdates,844,Anfotericina B; 50mg; Injectável,08Q01,Matalane,
expirationdates,844,Clotrimazol; 100mg; Óvulo vaginal,04A03,Matalane,
expirationdates,847,Clotrimazol; 500mg; Comprimidos vaginais,04A03Z,Matalane,
expirationdates,847,Clotrimazol; 50mg/5g; Créme vaginal,04A02,Matalane,
expirationdates,848,Paracetamol; 250mg; Supositório,07A05,Marracuene,
expirationdates,852,Artesunato; 100mg; Comprimidos,08O07,Matalane,
expirationdates,855,Artesunato; 200mg; Supositório,08O07Y,Matalane,
expirationdates,857,Artesunato; 50mg; Comprimidos,08O06,Matalane,
expirationdates,858,Artesunato; 40mg; Comprimidos,08O07Z,Matalane,
expirationdates,861,Artesunato+Amodiaquina; 100mg+270mg; Comprimidos,08O15,Matalane,
expirationdates,862,Artesunato+Amodiaquina; 100mg+153mg; Comprimidos,08O15Z,Matalane,
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,"14/11/2015,17/11/2015,18/11/2015,19/11/2015,20/11/2015,12/3/2016,12/11/2016"
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,"14/11/2015,17/11/2015,18/11/2015,20/11/2015,12/3/2016,12/11/2016"
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,17/3/2016
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,18/11/2015
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,20/11/2018
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,21/1/2016
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,"22/11/2015,19/11/2016,19/11/2020"
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,23/11/2017
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,26/11/2015
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,28/1/2016
expirationdates,862,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Matalane,4/12/2017
expirationdates,865,"Artesunato+Amodiaquina; 25mg+67,5mg; Comprimidos",08O15Y,Matalane,
expirationdates,865,Artesunato; 60mg/mL; Injectável,08O0XZ,Matalane,
expirationdates,866,Artesunato+Amodiaquina; 50mg+150mg; Comprimidos,08O15X,Matalane,
expirationdates,868,Artimisina; 40mg; Comprimidos,08O0YZ,Matalane,
expirationdates,873,Agua para Injectaveis  5ml Inj,11A0XZ,Matalane,
expirationdates,874,Agua para Injectaveis ; 10ml; Injectável,11A0XX,Matalane,
expirationdates,881,"Acetato de aluminio; 0,65%; Loção Aquosa",15A01,Matalane,
expirationdates,885,Amprenavir (APV); 150mg; Embalagem,08S24,Matalane,
expirationdates,886,Acido ascórbico (Vitamina C); 500mg/5mL; Injectável,12D02,Matalane,
expirationdates,886,Cloreto de trospio; 20mg; Comprimidos,04H01,Matalane,
expirationdates,888,Amprenavir (APV); 15mg/mL; Solução,08S25,Matalane,
expirationdates,891,"Digoxina; 0,5mg/2mL; Injectável",01A03,Matalane,
expirationdates,891,"Digoxina; 0,5mg/2mL; Injectável",01A03,Matalane,18/12/2015
expirationdates,892,Cinarizina; 25mg; Comprimidos,07E01,Matalane,
expirationdates,893,Clopidogrel; 75mg; Comprimidos,06E02,Matalane,
expirationdates,894,Zidovudina (AZT); 50mg/5mL 240mL; Solução,08S17,Matalane,
expirationdates,895,Cefalexina; 250mg; Cápsulas,080ZY,Matalane,
expirationdates,904,Dexametasona fosfato sodico; 4mg/mL; Injectável,03A01,Matalane,
expirationdates,915,Adenosina; 6mg/2mL; Injectável,01B01,Matalane,
expirationdates,915,Adenosina; 6mg/2mL; Injectável,01B01,Matalane,26/2/2016
expirationdates,916,Amilorido; 5mg; Comprimidos,10A01,Matalane,
expirationdates,917,Verapamil; 5mg/2mL; Injectável,01B05,Matalane,
expirationdates,917,Verapamil; 5mg/2mL; Injectável,01B05,Matalane,28/1/2016
expirationdates,919,Dexametasona; 5mg/mL; Injectável,03A01Z,Matalane,
expirationdates,922,Amilorido+Hidroclortiazida; 5mg + 50mg; Comprimidos,10A07,Matalane,
expirationdates,923,Amilorido HCL; 500mg; Injectável,10A0XZ,Matalane,
expirationdates,938,Clonazepam; 1mg/mL; Injectável,07D03,Matalane,
expirationdates,939,Atazanavir; 150mg 60Caps; Embalagem,08S30X,Matalane,
expirationdates,939,Cefixima; 100mg/5mL; Suspensão,08B05,Matalane,
expirationdates,939,Cefixima; 200mg; Comprimidos,08B04,Matalane,
expirationdates,939,Clonazepam; 2mg; Comprimidos,07D02,Matalane,
expirationdates,940,Atazanavir; 300mg 30Caps; Embalagem,08S30W,Matalane,
expirationdates,941,Cefalexina; 250mg; Cápsulas,08B0WZ,Matalane,
expirationdates,942,Cefixima; 400mg; Comprimidos,08B04Z,Matalane,
expirationdates,942,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Mali,
expirationdates,942,Tenofovir/Lamivudina/Efavirenz; 300mg + 300mg + 600mg 30Comp; Embalagem,08S18Y,Mali,15/11/2016
expirationdates,944,Cefalexina; 250mg; Cápsulas,08B0YZ,Matalane,
expirationdates,944,Dinitrato de isossorbido; 40mg; Comprimidos,01G01,Matalane,
expirationdates,947,Cefotaxima de sodio; 250mg-frasco; Injectável,08B06Y,Matalane,
expirationdates,947,"Copper T380 dispositivo ; 0,2%; DIU",04F09,Matalane,
expirationdates,948,Cefotaxima sodico; 500mg-frasco; Injectável,08B06,Matalane,
expirationdates,948,Efavirenz (EFV); 200mg 90Caps; Embalagem,08S20,Matalane,
expirationdates,951,Aciclovir; 5%; Créme,15C01,Matalane,
expirationdates,951,"Cefuroxima, Sal sodico; 750mg; Injectável",08B02,Matalane,
expirationdates,952,Cefotaxime de sodio; 1g; Injectável,08B06Z,Matalane,
expirationdates,954,"Cefuroxima, axetil; 125mg/5mL; Suspensão",08B03,Matalane,
expirationdates,954,"Cefuroxima,axetil; 250mg; Comprimidos",08B01,Matalane,
expirationdates,955,Adrenalina; 1mg/mL (1:1000); Injectável,13A01,Matalane,
expirationdates,955,Ceftadizima; 1g-ampola; Injectável,08B07,Matalane,
expirationdates,958,Albumina; 20% 100ml 20g; Injectável,12B10Z,Matalane,
expirationdates,958,Ceftriaxona; 1g/4ml- ampola; Injectável,08B08,Matalane,
expirationdates,959,Albumina; 20% 50ml 10g; Injectável,12B10Y,Matalane,
expirationdates,961,Danazol; 200mg; Comprimidos,04E12,Matalane,
expirationdates,962,"Acido Benzoico; 0,2%; Pomada",15C03Z,Matalane,
expirationdates,964,Diazoxido; 50mg; Comprimidos,03B13,Matalane,
expirationdates,966,"Difenoxilato+Atropina; 2,5mg+0,025mg; Comprimidos",02E01,Matalane,
expirationdates,981,"Capreomicina,sulfato; 1 000 000UI(1g); Injectável",08L09,Matalane,
expirationdates,983,Zidovudina (AZT); 50mg/5mL 100ml; Suspensão,08S17Y,Nhongonhane (Ed.Mondl.),
expirationdates,984,Alfa tocoferol (Vitamina E); 100mg; Cápsulas,12D03,Matalane,
expirationdates,986,Dimeticone; 50 mg/mL; Gotas Orais,02H01,Matalane,
expirationdates,987,Alfa tocoferol (Vitamina E); 50mg; Cápsulas,12D03Z,Matalane,
expirationdates,987,Aminoacidos; 10%; Injectável,12B01,Matalane,
expirationdates,989,Dimetilpolissiloxano; 10mg/25mL; Gotas Orais,02H01Z,Matalane,
expirationdates,992,Dimetilpolissiloxano; 10mg/25mL; Gotas Orais,02H0YY,Matalane,
expirationdates,995,Acido benzóico+Acido salicílic; 6+ 3g; Pomada,15C03,Matalane,
expirationdates,995,Dimetilpolissiloxano; 250mg; Comprimidos,02H0YZ,Matalane,
expirationdates,998,Acido fusidico; 2%; Créme,15C02,Matalane,
expirationdates,1000,Estavudina/Lamivudina/Nevirapi; 200mg+150mg+30mg 60Comp; Embalagem,08S36,Mali,
expirationdates,1000,"Fludrocortisona acetato; 0,1mg; Comprimidos",03A02,Marracuene,26/2/2016
expirationdates,1002,Clordiazepoxido; 10mg; Comprimidos,07I04,Matalane,
expirationdates,1002,Cromoglicato de sodio; 5mg/Inalacao; Aerosol,05A06,Matalane,
expirationdates,1013,"Desmopressina; 0,1mg/mL; Spray nasal",04H02,Matalane,
expirationdates,1014,Acetazolamida; 250mg; Comprimidos,17A01,Matalane,
expirationdates,1018,Esmolol Hidrocloreto; 10mg; Injectável,01E01Y,Matalane,
expirationdates,1019,"Acido Salicilico; 0,2%; Pó",15D0ZY,Matalane,
expirationdates,1024,Azatioprina; 25mg; Comprimidos,09F01,Matalane,
expirationdates,1027,Azatioprina; 50mg; Comprimidos,09F01Z,Matalane,
expirationdates,1028,Codeina fosfato; 25mg/5mL; Xarope,07B02,Matalane,
expirationdates,1029,Codeina fosfato; 30mg; Comprimidos,07B01,Matalane,
expirationdates,1031,Acido salicílico; 5%; Pomada,15D01,Matalane,
expirationdates,1033,Alendronato Sodico; 10mg; Comprimidos,14E01,Matalane,
expirationdates,1033,"Ciprofloxacina, lactato; 2mg/mL; KIT",08H04,Matalane,
expirationdates,1036,Ciprofloxacina; 250mg; Comprimidos,08H03Z,Matalane,
expirationdates,1037,Ciprofloxacina; 500mg; Comprimidos,08H03,Matalane,
expirationdates,1042,Alopurinol; 100mg; Comprimidos,14B01,Matalane,
expirationdates,1044,Claritromicina; 125mg/5mL; Suspensão,08F05,Matalane,
expirationdates,1044,Claritromicina; 250mg; Comprimidos,08F03,Matalane,
expirationdates,1044,"Clindamicina,hidrocloreto; 150mg; Cápsulas",08E01,Matalane,
expirationdates,1047,Claritromicina; 500mg-ampola; Injectável,08F04,Matalane,
expirationdates,1047,Clindamicina; 100 mg/mL; Solução,08E01Z,Matalane,
expirationdates,1050,Clindamicina; 150mg/mL-ampola; Injectável,08E02,Matalane,
expirationdates,1050,Dinoprost (Prostaglandina F2 A; 5mg/mL; Injectável,04B01,Matalane,
expirationdates,1051,Atenolol; 50mg; Comprimidos,01E01,Matalane,
